日期,隊伍,總分
20230425,Rangers vs Reds,13
20230425,White Sox vs Blue Jays,7
20230425,Nationals vs Mets,5
20230425,Marlins vs Braves,11
20230425,Tigers vs Brewers,7
20230425,Yankees vs Twins,8
20230425,Padres vs Cubs,6
20230425,Athletics vs Angels,8
20230425,Royals vs Diamondbacks,9
20230425,Cardinals vs Giants,9
20230426,Rangers vs Reds,8
20230426,Red Sox vs Orioles,8
20230426,White Sox vs Blue Jays,8
20230426,Rockies vs Guardians,5
20230426,Yankees vs Twins,18
20230426,Tigers vs Brewers,8
20230426,Royals vs Diamondbacks,2
20230426,Dodgers vs Pirates,9
20230426,Astros vs Rays,1
20230426,Mariners vs Phillies,11
20230426,Nationals vs Mets,5
20230426,Marlins vs Braves,10
20230426,Padres vs Cubs,8
20230426,Athletics vs Angels,14
20230426,Cardinals vs Giants,10
20230427,Marlins vs Braves,9
20230427,Dodgers vs Pirates,8
20230427,Mariners vs Phillies,1
20230427,Padres vs Cubs,7
20230427,Cardinals vs Giants,6
20230427,Athletics vs Angels,15
20230427,Orioles vs Tigers,11
20230427,Rays vs White Sox,19
20230427,Nationals vs Mets,17
20230427,Royals vs Twins,8
20230427,Yankees vs Rangers,6
20230428,Royals vs Twins,14
20230428,Cubs vs Marlins,5
20230428,Mariners vs Blue Jays,5
20230428,Braves vs Mets,4
20230428,Guardians vs Red Sox,7
20230428,Rays vs White Sox,5
20230428,Yankees vs Rangers,7
20230428,Angels vs Brewers,3
20230428,Phillies vs Astros,4
20230428,Diamondbacks vs Rockies,10
20230428,Reds vs Athletics,18
20230428,Cardinals vs Dodgers,10
20230429,Orioles vs Tigers,11
20230429,Pirates vs Nationals,9
20230429,Royals vs Twins,5
20230429,Mariners vs Blue Jays,1
20230429,Cubs vs Marlins,13
20230429,Reds vs Athletics,5
20230429,Guardians vs Red Sox,15
20230429,Phillies vs Astros,7
20230429,Orioles vs Tigers,10
20230429,Giants vs Padres,27
20230429,Pirates vs Nationals,17
20230429,Yankees vs Rangers,2
20230429,Angels vs Brewers,12
20230429,Rays vs White Sox,15
20230429,Diamondbacks vs Rockies,15
20230429,Cardinals vs Dodgers,1
20230430,Cubs vs Marlins,7
20230430,Guardians vs Red Sox,8
20230430,Pirates vs Nationals,9
20230430,Mariners vs Blue Jays,18
20230430,Orioles vs Tigers,8
20230430,Angels vs Brewers,3
20230430,Royals vs Twins,12
20230430,Rays vs White Sox,21
20230430,Yankees vs Rangers,17
20230430,Diamondbacks vs Rockies,16
20230430,Giants vs Padres,10
20230430,Reds vs Athletics,9
20230430,Cardinals vs Dodgers,9
20230430,Phillies vs Astros,7
20230501,Braves vs Mets,17
20230501,Braves vs Mets,8
20230501,Cubs vs Nationals,6
20230501,Guardians vs Yankees,5
20230501,Blue Jays vs Red Sox,11
20230501,Giants vs Astros,10
20230501,Reds vs Padres,11
20230501,Phillies vs Dodgers,17
20230502,Braves vs Marlins,6
20230502,Pirates vs Rays,5
20230502,Cubs vs Nationals,5
20230502,Guardians vs Yankees,6
20230502,Twins vs White Sox,5
20230502,Blue Jays vs Red Sox,13
20230502,Orioles vs Royals,18
20230502,Angels vs Cardinals,6
20230502,Diamondbacks vs Rangers,10
20230502,Giants vs Astros,2
20230502,Brewers vs Rockies,5
20230502,Mariners vs Athletics,3
20230502,Reds vs Padres,3
20230502,Phillies vs Dodgers,14
20230503,Mets vs Tigers,11
20230503,Diamondbacks vs Rangers,19
20230503,Giants vs Astros,6
20230503,Phillies vs Dodgers,16
20230503,Reds vs Padres,8
20230503,Braves vs Marlins,20
20230503,Mets vs Tigers,9
20230503,Pirates vs Rays,9
20230503,Cubs vs Nationals,3
20230503,Guardians vs Yankees,7
20230503,Twins vs White Sox,10
20230503,Blue Jays vs Red Sox,11
20230503,Orioles vs Royals,6
20230503,Angels vs Cardinals,10
20230503,Brewers vs Rockies,8
20230503,Mariners vs Athletics,9
20230504,Cubs vs Nationals,7
20230504,Mets vs Tigers,2
20230504,Pirates vs Rays,5
20230504,Angels vs Cardinals,18
20230504,Orioles vs Royals,23
20230504,Twins vs White Sox,10
20230504,Brewers vs Rockies,15
20230504,Mariners vs Athletics,8
20230504,Braves vs Marlins,9
20230504,Blue Jays vs Red Sox,16
20230505,Marlins vs Cubs,5
20230505,Blue Jays vs Pirates,4
20230505,White Sox vs Reds,9
20230505,Yankees vs Rays,9
20230505,Red Sox vs Phillies,8
20230505,Rockies vs Mets,1
20230505,Twins vs Guardians,2
20230505,Orioles vs Braves,13
20230505,Athletics vs Royals,20
20230505,Tigers vs Cardinals,9
20230505,Rangers vs Angels,9
20230505,Nationals vs Diamondbacks,4
20230505,Dodgers vs Padres,7
20230505,Astros vs Mariners,10
20230505,Brewers vs Giants,10
20230506,Tigers vs Cardinals,11
20230506,Marlins vs Cubs,6
20230506,Rockies vs Mets,7
20230506,Yankees vs Rays,5
20230506,Twins vs Guardians,7
20230506,Blue Jays vs Pirates,10
20230506,White Sox vs Reds,8
20230506,Athletics vs Royals,9
20230506,Orioles vs Braves,9
20230506,Red Sox vs Phillies,11
20230506,Brewers vs Giants,5
20230506,Nationals vs Diamondbacks,15
20230506,Dodgers vs Padres,3
20230506,Rangers vs Angels,11
20230506,Astros vs Mariners,12
20230507,Orioles vs Braves,5
20230507,Red Sox vs Phillies,7
20230507,Blue Jays vs Pirates,11
20230507,Rockies vs Mets,19
20230507,Twins vs Guardians,2
20230507,Yankees vs Rays,15
20230507,Athletics vs Royals,6
20230507,Tigers vs Cardinals,18
20230507,Marlins vs Cubs,9
20230507,Brewers vs Giants,10
20230507,Rangers vs Angels,24
20230507,White Sox vs Reds,21
20230507,Astros vs Mariners,4
20230507,Nationals vs Diamondbacks,17
20230507,Dodgers vs Padres,7
20230508,Tigers vs Guardians,8
20230508,Rays vs Orioles,3
20230508,Rockies vs Pirates,2
20230508,Athletics vs Yankees,9
20230508,White Sox vs Royals,17
20230508,Dodgers vs Brewers,12
20230508,Cardinals vs Cubs,4
20230508,Astros vs Angels,10
20230508,Marlins vs Diamondbacks,7
20230508,Rangers vs Mariners,3
20230508,Nationals vs Giants,6
20230509,Tigers vs Guardians,2
20230509,Rays vs Orioles,6
20230509,Rockies vs Pirates,11
20230509,Mets vs Reds,13
20230509,Blue Jays vs Phillies,12
20230509,Athletics vs Yankees,15
20230509,Red Sox vs Braves,12
20230509,White Sox vs Royals,6
20230509,Dodgers vs Brewers,8
20230509,Padres vs Twins,7
20230509,Cardinals vs Cubs,10
20230509,Astros vs Angels,4
20230509,Marlins vs Diamondbacks,8
20230509,Rangers vs Mariners,5
20230509,Nationals vs Giants,5
20230510,Athletics vs Yankees,14
20230510,Rockies vs Pirates,7
20230510,Tigers vs Guardians,5
20230510,Dodgers vs Brewers,9
20230510,Marlins vs Diamondbacks,9
20230510,Rangers vs Mariners,7
20230510,Nationals vs Giants,17
20230510,Blue Jays vs Phillies,3
20230510,Astros vs Angels,9
20230510,Rays vs Orioles,3
20230510,Mets vs Reds,3
20230510,Red Sox vs Braves,7
20230510,White Sox vs Royals,10
20230510,Padres vs Twins,7
20230510,Cardinals vs Cubs,14
20230511,Mets vs Reds,5
20230511,Padres vs Twins,8
20230511,White Sox vs Royals,7
20230511,Rays vs Yankees,10
20230511,Giants vs Diamondbacks,8
20230511,Rangers vs Athletics,4
20230512,Reds vs Marlins,11
20230512,Mariners vs Tigers,11
20230512,Mets vs Nationals,5
20230512,Pirates vs Orioles,9
20230512,Rays vs Yankees,11
20230512,Braves vs Blue Jays,3
20230512,Angels vs Guardians,9
20230512,Cardinals vs Red Sox,14
20230512,Cubs vs Twins,8
20230512,Astros vs White Sox,6
20230512,Royals vs Brewers,6
20230512,Phillies vs Rockies,9
20230512,Giants vs Diamondbacks,12
20230512,Rangers vs Athletics,16
20230512,Padres vs Dodgers,6
20230513,Rays vs Yankees,17
20230513,Reds vs Marlins,11
20230513,Mariners vs Tigers,5
20230513,Cubs vs Twins,12
20230513,Braves vs Blue Jays,7
20230513,Mets vs Nationals,5
20230513,Rangers vs Athletics,5
20230513,Cardinals vs Red Sox,7
20230513,Angels vs Guardians,14
20230513,Pirates vs Orioles,2
20230513,Royals vs Brewers,7
20230513,Astros vs White Sox,4
20230513,Padres vs Dodgers,6
20230513,Giants vs Diamondbacks,9
20230513,Phillies vs Rockies,11
20230514,Mets vs Nationals,5
20230514,Angels vs Guardians,7
20230514,Pirates vs Orioles,4
20230514,Rays vs Yankees,15
20230514,Braves vs Blue Jays,11
20230514,Reds vs Marlins,4
20230514,Mariners vs Tigers,8
20230514,Cubs vs Twins,19
20230514,Astros vs White Sox,7
20230514,Royals vs Brewers,15
20230514,Phillies vs Rockies,4
20230514,Rangers vs Athletics,14
20230514,Padres vs Dodgers,4
20230514,Giants vs Diamondbacks,3
20230514,Mets vs Nationals,10
20230514,Cardinals vs Red Sox,10
20230515,Mets vs Nationals,13
20230515,Angels vs Orioles,14
20230515,Yankees vs Blue Jays,11
20230515,Mariners vs Red Sox,11
20230515,Brewers vs Cardinals,19
20230515,Braves vs Rangers,12
20230515,Cubs vs Astros,10
20230515,Reds vs Rockies,17
20230515,Diamondbacks vs Athletics,7
20230515,Royals vs Padres,4
20230515,Phillies vs Giants,9
20230515,Twins vs Dodgers,17
20230516,Angels vs Orioles,10
20230516,Pirates vs Tigers,4
20230516,Nationals vs Marlins,9
20230516,Yankees vs Blue Jays,9
20230516,Mariners vs Red Sox,13
20230516,Rays vs Mets,13
20230516,Brewers vs Cardinals,5
20230516,Braves vs Rangers,11
20230516,Cubs vs Astros,10
20230516,Guardians vs White Sox,11
20230516,Reds vs Rockies,4
20230516,Diamondbacks vs Athletics,17
20230516,Royals vs Padres,9
20230516,Phillies vs Giants,7
20230516,Twins vs Dodgers,6
20230517,Pirates vs Tigers,8
20230517,Twins vs Dodgers,10
20230517,Reds vs Rockies,17
20230517,Diamondbacks vs Athletics,8
20230517,Phillies vs Giants,11
20230517,Royals vs Padres,7
20230517,Angels vs Orioles,4
20230517,Nationals vs Marlins,7
20230517,Yankees vs Blue Jays,3
20230517,Mariners vs Red Sox,15
20230517,Rays vs Mets,15
20230517,Brewers vs Cardinals,3
20230517,Braves vs Rangers,11
20230517,Cubs vs Astros,13
20230517,Guardians vs White Sox,9
20230518,Angels vs Orioles,11
20230518,Rays vs Mets,5
20230518,Nationals vs Marlins,8
20230518,Guardians vs White Sox,4
20230518,Yankees vs Blue Jays,6
20230518,Dodgers vs Cardinals,24
20230519,Diamondbacks vs Pirates,16
20230519,Brewers vs Rays,1
20230519,Yankees vs Reds,8
20230519,Cubs vs Phillies,11
20230519,Tigers vs Nationals,14
20230519,Orioles vs Blue Jays,8
20230519,Guardians vs Mets,19
20230519,Mariners vs Braves,8
20230519,Rockies vs Rangers,9
20230519,Royals vs White Sox,2
20230519,Athletics vs Astros,6
20230519,Dodgers vs Cardinals,5
20230519,Twins vs Angels,9
20230519,Red Sox vs Padres,7
20230519,Marlins vs Giants,7
20230520,Royals vs White Sox,6
20230520,Orioles vs Blue Jays,11
20230520,Cubs vs Phillies,15
20230520,Rockies vs Rangers,16
20230520,Tigers vs Nationals,7
20230520,Marlins vs Giants,1
20230520,Diamondbacks vs Pirates,7
20230520,Brewers vs Rays,12
20230520,Yankees vs Reds,11
20230520,Athletics vs Astros,5
20230520,Dodgers vs Cardinals,11
20230520,Mariners vs Braves,10
20230520,Twins vs Angels,8
20230520,Red Sox vs Padres,6
20230521,Yankees vs Reds,5
20230521,Cubs vs Phillies,3
20230521,Tigers vs Nationals,10
20230521,Mariners vs Braves,5
20230521,Diamondbacks vs Pirates,11
20230521,Orioles vs Blue Jays,11
20230521,Brewers vs Rays,10
20230521,Guardians vs Mets,9
20230521,Royals vs White Sox,7
20230521,Athletics vs Astros,2
20230521,Dodgers vs Cardinals,15
20230521,Rockies vs Rangers,16
20230521,Marlins vs Giants,12
20230521,Twins vs Angels,6
20230521,Red Sox vs Padres,7
20230521,Guardians vs Mets,3
20230522,White Sox vs Guardians,3
20230522,Rangers vs Pirates,10
20230522,Diamondbacks vs Phillies,9
20230522,Cardinals vs Reds,11
20230522,Blue Jays vs Rays,10
20230522,Dodgers vs Braves,14
20230522,Tigers vs Royals,13
20230522,Astros vs Brewers,14
20230522,Giants vs Twins,5
20230522,Marlins vs Rockies,8
20230522,Red Sox vs Angels,3
20230522,Athletics vs Mariners,13
20230523,White Sox vs Guardians,6
20230523,Rangers vs Pirates,7
20230523,Diamondbacks vs Phillies,7
20230523,Cardinals vs Reds,13
20230523,Blue Jays vs Rays,21
20230523,Orioles vs Yankees,11
20230523,Padres vs Nationals,11
20230523,Dodgers vs Braves,9
20230523,Tigers vs Royals,5
20230523,Astros vs Brewers,6
20230523,Mets vs Cubs,9
20230523,Giants vs Twins,7
20230523,Marlins vs Rockies,9
20230523,Red Sox vs Angels,4
20230523,Athletics vs Mariners,5
20230524,Rangers vs Pirates,5
20230524,Diamondbacks vs Phillies,11
20230524,White Sox vs Guardians,6
20230524,Astros vs Brewers,4
20230524,Giants vs Twins,8
20230524,Cardinals vs Reds,13
20230524,Blue Jays vs Rays,10
20230524,Orioles vs Yankees,15
20230524,Padres vs Nationals,8
20230524,Dodgers vs Braves,7
20230524,Tigers vs Royals,10
20230524,Mets vs Cubs,6
20230524,Marlins vs Rockies,12
20230524,Red Sox vs Angels,10
20230524,Athletics vs Mariners,7
20230525,Cardinals vs Reds,3
20230525,Blue Jays vs Rays,9
20230525,Marlins vs Rockies,13
20230525,Padres vs Nationals,14
20230525,White Sox vs Tigers,9
20230525,Orioles vs Yankees,4
20230525,Phillies vs Braves,13
20230525,Mets vs Cubs,11
20230525,Giants vs Brewers,5
20230525,Athletics vs Mariners,5
20230526,Reds vs Cubs,9
20230526,White Sox vs Tigers,15
20230526,Dodgers vs Rays,12
20230526,Padres vs Yankees,6
20230526,Rangers vs Orioles,14
20230526,Cardinals vs Guardians,7
20230526,Phillies vs Braves,10
20230526,Giants vs Brewers,16
20230526,Blue Jays vs Twins,4
20230526,Nationals vs Royals,22
20230526,Mets vs Rockies,7
20230526,Marlins vs Angels,8
20230526,Red Sox vs Diamondbacks,9
20230526,Astros vs Athletics,7
20230526,Pirates vs Mariners,17
20230527,Padres vs Yankees,5
20230527,White Sox vs Tigers,10
20230527,Blue Jays vs Twins,16
20230527,Rangers vs Orioles,8
20230527,Astros vs Athletics,9
20230527,Dodgers vs Rays,11
20230527,Phillies vs Braves,3
20230527,Pirates vs Mariners,5
20230527,Giants vs Brewers,4
20230527,Nationals vs Royals,6
20230527,Red Sox vs Diamondbacks,3
20230527,Reds vs Cubs,13
20230527,Cardinals vs Guardians,3
20230527,Mets vs Rockies,17
20230527,Marlins vs Angels,13
20230528,Dodgers vs Rays,21
20230528,Padres vs Yankees,17
20230528,Rangers vs Orioles,5
20230528,White Sox vs Tigers,11
20230528,Cardinals vs Guardians,7
20230528,Giants vs Brewers,12
20230528,Blue Jays vs Twins,3
20230528,Nationals vs Royals,5
20230528,Reds vs Cubs,13
20230528,Mets vs Rockies,21
20230528,Astros vs Athletics,11
20230528,Marlins vs Angels,2
20230528,Red Sox vs Diamondbacks,6
